index,genres,keywords,tagline,title,cast,director
1630,Comedy,sex san francisco restaurant frustration chase,A comedy about the journey between popping the question and tying the knot.,The Five-Year Engagement,Jason Segel Emily Blunt Chris Pratt Alison Brie Rhys Ifans,Nicholas Stoller
1631,Comedy Drama,baseball sport,Big league. Big mouth. Big time.,Mr. 3000,Bernie Mac Angela Bassett Michael Rispoli Brian J. White Dondre Whitfield,Charles Stone III
1632,Romance Drama Thriller Crime,evidence passport argument county jail fingerprints,What if you had 72 hours to save everything you live for?,The Next Three Days,Russell Crowe Elizabeth Banks Brian Dennehy RZA Moran Atias,Paul Haggis
1633,Science Fiction Action Thriller,skyscraper vampire victim dystopia boy,The blood war is on.,Ultraviolet,Milla Jovovich Cameron Bright Nick Chinlund Sebastien Andrieu Ida Martin,Kurt Wimmer
1634,Thriller,drug abuse mexican standoff junkie prison cell snow storm,Unite and fight.,Assault on Precinct 13,Ethan Hawke Laurence Fishburne Gabriel Byrne Maria Bello Drea de Matteo,Jean-Fran\u00e7ois Richet
1635,Action Drama Crime Thriller,usa china assault rifle sniper chinatown,Kill or be replaced.,The Replacement Killers,Chow Yun-fat Mira Sorvino Michael Rooker Kenneth Tsang J\u00fcrgen Prochnow,Antoine Fuqua
1636,Action Comedy Thriller,hacker undercover agent mafia chain gang fugitive,See how they run.,Fled,Laurence Fishburne Stephen Baldwin Salma Hayek Will Patton Robert John Burke,Kevin Hooks
1637,Action Comedy Horror Thriller,pick up wetting pants hockey mask barbershop perfume,Do you hate spiders? Do you really hate spiders? Well they don't like you either.,Eight Legged Freaks,David Arquette Kari Wuhrer Scott Terra Scarlett Johansson Doug E. Doug,Ellory Elkayem
1638,Drama Comedy Romance,male nudity female nudity letter love viagra,Addicted to one-night stands or dependent on one another?,Love & Other Drugs,Jake Gyllenhaal Anne Hathaway Oliver Platt Hank Azaria Gabriel Macht,Edward Zwick
1639,Crime Mystery Thriller,fbi professor ladies' man medical examiner serial killer,He has 88 minutes to solve a murder. His own.,88 Minutes,Al Pacino Alicia Witt Leelee Sobieski Amy Brenneman William Forsythe,Jon Avnet
1640,Drama,rape secret minnesota witness miner,All She Wanted Was To Make A Living. Instead She Made History.,North Country,Charlize Theron Elle Peterson Thomas Curtis Frances McDormand Sean Bean,Niki Caro
1641,Comedy Thriller Crime,hitman,"They missed each other. This time, their aim is better.",The Whole Ten Yards,Bruce Willis Matthew Perry Amanda Peet Kevin Pollak Frank Collison,Howard Deutch
1642,Horror Thriller Science Fiction,dna genetics gene manipulation genetic engineering biological experiment,Science's newest miracle...is a mistake.,Splice,Adrien Brody Sarah Polley Delphine Chan\u00e9ac David Hewlett Abigail Chu,Vincenzo Natali
1643,Comedy Fantasy Science Fiction,duck physicist extraterrestrial anthropomorphism alien invasion,You will believe that a duck can talk.,Howard the Duck,Lea Thompson Jeffrey Jones Tim Robbins Ed Gale Holly Robinson Peete,Willard Huyck
1644,Thriller Crime Drama,megacity brother-in-law police,Truth. Honor. Loyalty. Family. What are you willing to sacrifice?,Pride and Glory,Edward Norton Jon Voight Colin Farrell Noah Emmerich Jennifer Ehle,Gavin O'Connor
1645,Action Adventure Horror Thriller,fall burned alive violence diver swimwear,There are places man was never meant to go.,The Cave,Cole Hauser Eddie Cibrian Morris Chestnut Lena Headey Piper Perabo,Bruce Hunt
1646,Comedy Romance,gambling sex casino based on novel vandalism,Is it love... or are they just imagining things?,Alex & Emma,Luke Wilson Kate Hudson Sophie Marceau David Paymer Paul Wilson,Rob Reiner
1647,Drama Mystery Romance Thriller,love of one's life leave look-alike intrigue,Passion never dies.,Wicker Park,Josh Hartnett Rose Byrne Matthew Lillard Diane Kruger Christopher Cousins,Paul McGuigan
1648,Horror Comedy,sunrise vampire suspicion remake suburbia,You can't run from evil when it lives next door.,Fright Night,Anton Yelchin Colin Farrell Toni Collette Christopher Mintz-Plasse David Tennant,Craig Gillespie
1649,Drama History Romance,chief colonialism new world,"Once discovered, it was changed forever.",The New World,Colin Farrell Q'orianka Kilcher Christopher Plummer Christian Bale August Schellenberg,Terrence Malick
1650,Action Science Fiction,fight pilot outer space based on video game space opera,An action packed thrill ride!,Wing Commander,Freddie Prinze Jr. Saffron Burrows Matthew Lillard Tch\u00e9ky Karyo J\u00fcrgen Prochnow,Christopher Roberts
1651,Drama Thriller,based on novel suicide attempt dream kidnapping victim of murder,You don't have to sleep to dream,In Dreams,Annette Bening Aidan Quinn Stephen Rea Robert Downey Jr. Paul Guilfoyle,Neil Jordan
1652,Action Adventure Fantasy Science Fiction Thriller,karate superhero revenge dragon duringcreditsstinger,The legend comes to life.,Dragonball Evolution,Chow Yun-fat Justin Chatwin Joon Park Jamie Chung Emmy Rossum,James Wong
1653,Action Crime Thriller,sheriff small town hostage prisoner fbi,Not in his town. Not on his watch.,The Last Stand,Arnold Schwarzenegger Forest Whitaker Rodrigo Santoro Johnny Knoxville Jaimie Alexander,Kim Jee-woon
1654,Drama Horror Science Fiction Thriller,schizophrenia clone loss of son nightmare doctor,"When a miracle becomes a nightmare, evil is born.",Godsend,Greg Kinnear Rebecca Romijn Robert De Niro Cameron Bright Zoie Palmer,Nick Hamm
1655,Comedy Romance,venice berlin usa president undercover prague,How do you fall in love with the whole world watching?,Chasing Liberty,Mandy Moore Stark Sands Tony Jayawardena Jeremy Piven Annabella Sciorra,Andy Cadiff
1656,Comedy Animation Family,witch wolf little red riding hood sequel computer animation,Not All Fairy Tales Go By the Book.,Hoodwinked Too! Hood VS. Evil,Hayden Panettiere Bill Hader Joan Cusack Patrick Warburton Glenn Close,Mike Disa
1657,Drama,loss of son sheriff wyoming grandfather granddaughter relationship violence against women,Every secret takes on a life of its own.,An Unfinished Life,Robert Redford Jennifer Lopez Morgan Freeman Becca Gardner Josh Lucas,Lasse Hallstr\u00f6m
1658,Adventure Fantasy Mystery,circus immortality elderly aftercreditsstinger duringcreditsstinger,,The Imaginarium of Doctor Parnassus,Christopher Plummer Heath Ledger Johnny Depp Jude Law Colin Farrell,Terry Gilliam
1659,Comedy Drama,suicide jealousy canada independent film politically incorrect,First he got married. Then he got married again. Then he met the love of his life.,Barney's Version,Paul Giamatti Dustin Hoffman Rosamund Pike Minnie Driver Rachelle Lefevre,Richard J. Lewis
1660,Crime Thriller Drama,gambling casino gambling debts dirty cop puerto rico,The house always wins.,Runner Runner,Ben Affleck Gemma Arterton Justin Timberlake Anthony Mackie David Costabile,Brad Furman
1661,Action Crime Drama,technology garage hacker male friendship microchip,Truth can be dangerous...Trust can be deadly.,Antitrust,Ryan Phillippe Rachael Leigh Cook Tim Robbins Claire Forlani Richard Roundtree,Peter Howitt
1662,War,war racism battle union soldier confederate soldier,Their innocence. Their heritage. Their lives.,Glory,Matthew Broderick Denzel Washington Cary Elwes Morgan Freeman Jihmi Kennedy,Edward Zwick
1663,Drama Crime,life and death corruption street gang rape sadistic,"Crime, passion and lust for power - Sergio Leone's explosive saga of gangland America.",Once Upon a Time in America,Robert De Niro James Woods Elizabeth McGovern Joe Pesci Burt Young,Sergio Leone
1664,Thriller Action Crime Drama,revenge new york city mysterious woman crime lord,Blood demands blood,Dead Man Down,Colin Farrell Noomi Rapace Terrence Howard Dominic Cooper Isabelle Huppert,Niels Arden Oplev
1665,Drama Romance,venice shakespeare jew ship salesperson,,The Merchant of Venice,Al Pacino Jeremy Irons Joseph Fiennes Lynn Collins Zuleikha Robinson,Michael Radford
1666,Crime Drama Thriller,casino monte carlo painting caper independent film,He doesn't want money. He wants what money can't buy.,The Good Thief,Nick Nolte Tch\u00e9ky Karyo Nutsa Kukhianidze Marc Lavoine Sa\u00efd Taghmaoui,Neil Jordan
1667,Action Adventure Drama Romance,sport,,Supercross,Steve Howey Mike Vogel Cameron Richardson Sophia Bush Channing Tatum,Steve Boyum
1668,Drama Family Romance,loss of lover mountain lake author rabbit,The life of Beatrix Potter is the most enchanting tale of all.,Miss Potter,Ewan McGregor Ren\u00e9e Zellweger Emily Watson Barbara Flynn Bill Paterson,Chris Noonan
1669,Fantasy Drama Action Thriller Romance,servant emperor battle assignment,the promise,The Promise,Cecilia Cheung Liu Ye Hong Chen Cheng Qian Jang Dong-gun,Chen Kaige
1670,Adventure Action Thriller,competition martial arts kung fu assassin fight,"They're the ultimate fighters. They've got the looks. They've got the moves, and the men fall at their feet.",DOA: Dead or Alive,Jaime Pressly Devon Aoki Holly Valance Sarah Carter Natassia Malthe,Corey Yuen Kwai
1671,Action Drama Western,killing admiration hold-up robbery to shoot dead idol,Beyond the myth lies America's greatest betrayal,The Assassination of Jesse James by the Coward Robert Ford,Brad Pitt Casey Affleck Sam Shepard Mary-Louise Parker Paul Schneider,Andrew Dominik
1672,Adventure Drama Action History War,martial arts sword revolution blood gunfight,Fall of the Last Empire,1911,Jackie Chan Li Bingbing Joan Chen Jaycee Chan Sun Chun,Jackie Chan
1673,Comedy,,,Little Nicholas,Maxime Godart Val\u00e9rie Lemercier Kad Merad Sandrine Kiberlain Fran\u00e7ois-Xavier Demaison,Laurent Tirard
1674,Thriller Crime Drama,gambling bodyguard remake,Never bet against a man with a killer hand.,Wild Card,Jason Statham Michael Angarano Milo Ventimiglia Dominik Garc\u00eda-Lorido Anne Heche,Simon West
1675,Action Thriller Crime,underage soldier duringcreditsstinger,Hope is the greatest weapon of all,Machine Gun Preacher,Gerard Butler Michelle Monaghan Kathy Baker Richard Goteri Peter Carey,Marc Forster
1676,Animation Family Comedy,dam shark animal hoover dam crane the bird,,Animals United,Christoph Maria Herbst Ralf Schmitz Thomas Fritsch Bastian Pastewka Oliver Kalkofe,Reinhard Klooss
1677,History Drama,jail guard prison cell south africa apartheid nelson mandela,,Goodbye Bafana,Joseph Fiennes Dennis Haysbert Diane Kruger Shiloh Henderson Patrick Lyster,Bille August
1678,Drama,soccer,Every dream has it's own rules,United Passions,Tim Roth Sam Neill Thomas Kretschmann G\u00e9rard Depardieu Jemima West,Fr\u00e9d\u00e9ric Auburtin
1679,Romance Drama,monaco prince,,Grace of Monaco,Nicole Kidman Milo Ventimiglia Paz Vega Tim Roth Parker Posey,Olivier Dahan
1680,Fantasy Adventure Animation,village creature battle monkey hyena,You need only wish with all of your heart!,Savva. Heart of the Warrior,Maksim Chukharyov Konstantin Khabenskiy Mikhail Galustyan Fyodor Bondarchuk Natalya Ionova,Maksim Fadeev
1681,Crime Thriller,berlin male nudity villa milan hitman,,Ripley's Game,John Malkovich Ray Winstone Uwe Mansshardt Hanns Zischler Paolo Paoloni,Liliana Cavani
1682,Adventure Animation Comedy Fantasy,supermarket party sausage food anthropomorphism,Always use condiments,Sausage Party,Seth Rogen Kristen Wiig Jonah Hill Bill Hader Michael Cera,Conrad Vernon
1683,Comedy Music,music sequel singer male female relationship audition,We're back pitches,Pitch Perfect 2,Anna Kendrick Rebel Wilson Hailee Steinfeld Brittany Snow Skylar Astin,Elizabeth Banks
1684,Drama Music Romance,germany prison music record adultery country music,Love is a burning thing.,Walk the Line,Joaquin Phoenix Reese Witherspoon Ginnifer Goodwin Robert Patrick Tyler Hilton,James Mangold
1685,Comedy,love triangle rabbi priest catholicism,"If you have to believe in something, you may as well believe in love.",Keeping the Faith,Ben Stiller Edward Norton Jenna Elfman Anne Bancroft Eli Wallach,Edward Norton
1686,Adventure Fantasy Action Comedy Family,dwarves household lawyer little people child's point of view,Little People. Big Trouble. Lots of fun.,The Borrowers,John Goodman Jim Broadbent Celia Imrie Tom Felton Hugh Laurie,Peter Hewitt
1687,Drama History,camera lie scandal watergate scandal richard nixon,400 million people were waiting for the truth.,Frost/Nixon,Michael Sheen Frank Langella Kevin Bacon Sam Rockwell Mark Simich,Ron Howard
1688,Comedy Crime Drama Romance Thriller,microfilm biography silencer intrigue,Some things are better left top secret.,Confessions of a Dangerous Mind,Sam Rockwell Drew Barrymore Julia Roberts Rutger Hauer Brad Pitt,George Clooney
1689,Comedy Romance,wealth falling in love divorce pretty woman winery,The One Thing That Could Bring Them Together Is Revenge.,Serving Sara,Matthew Perry Elizabeth Hurley Vincent Pastore Bruce Campbell Cedric the Entertainer,Reginald Hudlin
1690,Comedy,business woman ex-con duringcreditsstinger girl scouts,Watch your assets,The Boss,Melissa McCarthy Peter Dinklage Kristen Bell Kathy Bates Kristen Schaal,Ben Falcone
1691,Drama,journalist 1970s male friendship south africa apartheid,,Cry Freedom,Denzel Washington Kevin Kline Penelope Wilton Kate Hardie John Matshikiza,Richard Attenborough
1692,Comedy Drama Romance,,Some towns have all the fun.,Mumford,Loren Dean Hope Davis Jason Lee Alfre Woodard Zooey Deschanel,Lawrence Kasdan
1693,Drama Horror Comedy,baby puppet filmdreh murder killer doll,Fear The Second Coming,Seed of Chucky,Brad Dourif Jennifer Tilly Billy Boyd Redman Hannah Spearritt,Don Mancini
1694,Drama Mystery Thriller Fantasy,smoking medicine psychology hallucination human experimentation,Terror has a new name.,The Jacket,Adrien Brody Keira Knightley Kris Kristofferson Jennifer Jason Leigh Kelly Lynch,John Maybury
1695,Animation Family Comedy Adventure Fantasy,magic musical cartoon princess love,Wish granted!,Aladdin,Scott Weinger Robin Williams Linda Larkin Jonathan Freeman Frank Welker,Ron Clements
1696,Drama Music,brother brother relationship aids police brutality rap music hip-hop,The Story of N.W.A.,Straight Outta Compton,O'Shea Jackson Jr. Corey Hawkins Jason Mitchell Neil Brown Jr. Aldis Hodge,F. Gary Gray
1697,Adventure Action,riddle treasure heart skeleton treasure hunt,If adventure has a name... it must be Indiana Jones.,Indiana Jones and the Temple of Doom,Harrison Ford Kate Capshaw Jonathan Ke Quan Amrish Puri Roshan Seth,Steven Spielberg
1698,Animation Family,brother brother relationship baby home pregnancy and birth sequel,,The Rugrats Movie,Whoopi Goldberg David Spade E.G. Daily Tara Strong Christine Cavanaugh,Norton Virgien
1699,Crime Mystery Thriller Action,psychology police operation police psychologist,The game is far from over.,Along Came a Spider,Morgan Freeman Monica Potter Michael Wincott Dylan Baker Mika Boorem,Lee Tamahori
1700,Comedy Drama,opera biography singing false,"People may say I couldn't sing, but no one can say I didn't sing",Florence Foster Jenkins,Meryl Streep Hugh Grant Rebecca Ferguson Simon Helberg Nina Arianda,Stephen Frears
1701,Action,corruption cia,The Time Has Come.,Once Upon a Time in Mexico,Antonio Banderas Salma Hayek Johnny Depp Eva Mendes Mickey Rourke,Robert Rodriguez
1702,Action Thriller,helicopter journalist based on novel terrorist skyscraper,40 Stories. Twelve Terrorists. One Cop.,Die Hard,Bruce Willis Alan Rickman Alexander Godunov Bonnie Bedelia Reginald VelJohnson,John McTiernan
1703,Comedy,camping campsite big brother friends community service,They're about to get more than they plea-bargained for.,Role Models,Seann William Scott Paul Rudd Elizabeth Banks Christopher Mintz-Plasse Bobb'e J. Thompson,David Wain
1704,Comedy Drama,bank fraud biography wall street finances,This is a true story.,The Big Short,Christian Bale Steve Carell Ryan Gosling Brad Pitt Melissa Leo,Adam McKay
1705,Music Comedy Drama,music festival independent film catskills dog tags,A Generation Began In His Backyard.,Taking Woodstock,Demetri Martin Imelda Staunton Henry Goodman Liev Schreiber Jonathan Groff,Ang Lee
1706,Drama History,olympic games sport ice hockey milwaukee wisconsin st. paul minnesota,"If you believe in yourself, anything can happen.",Miracle,Kurt Russell Patricia Clarkson Noah Emmerich Sean McCann Kenneth Welsh,Gavin O'Connor
1707,Fantasy Horror Action,refugee mass murder habor car journey department store,"When the undead rise, civilization will fall.",Dawn of the Dead,Sarah Polley Ving Rhames Jake Weber Mekhi Phifer Ty Burrell,Zack Snyder
1708,Comedy,san francisco marriage proposal love of one's life wedding planer man of one's dreams,His big day is her big problem.,The Wedding Planner,Jennifer Lopez Matthew McConaughey Justin Chambers Joanna Gleason Lou Myers,Adam Shankman
1709,Animation Science Fiction,,,Space Pirate Captain Harlock,Shun Oguri Haruma Miura Yu Aoi Arata Furuta Ayano Fukuda,Shinji Aramaki
1710,Comedy Drama,forgiveness child prodigy terminal illness dysfunctional family cigarette smoking,"Family isn’t a word, it’s a sentence.",The Royal Tenenbaums,Gene Hackman Anjelica Huston Ben Stiller Gwyneth Paltrow Luke Wilson,Wes Anderson
1711,Mystery Thriller,weather multiple character scream convict psychopathy,The secret lies within.,Identity,John Cusack Ray Liotta Amanda Peet John Hawkes Alfred Molina,James Mangold
1712,Comedy,casino male friendship stag night las vegas elderly,It's going to be legendary,Last Vegas,Robert De Niro Morgan Freeman Michael Douglas Kevin Kline Mary Steenburgen,Jon Turteltaub
1713,Adventure Action Thriller,london england submarine england sea assassin,"No one comes close to James Bond, 007.",For Your Eyes Only,Roger Moore Carole Bouquet Chaim Topol Lynn-Holly Johnson Julian Glover,John Glen
1714,Comedy Romance,soulmates new love book dollar fate,Sometimes True Love Can Have More Than One Face.,Serendipity,John Cusack Kate Beckinsale Jeremy Piven Bridget Moynahan Eugene Levy,Peter Chelsom
1715,Thriller Science Fiction Action Crime,martial arts time travel science fiction alternative reality,They killed his wife ten years ago. There's still time to save her. Murder is forever... until now.,Timecop,Jean-Claude Van Damme Mia Sara Ron Silver Bruce McGill Gloria Reuben,Peter Hyams
1716,Comedy,male model time magazine fashion show fashion model fictional awards show,3% Body Fat. 1% Brain Activity.,Zoolander,Ben Stiller Owen Wilson Christine Taylor Will Ferrell Milla Jovovich,Ben Stiller
1717,Romance,based on novel small town widower single father abusive husband,You know it when you find it,Safe Haven,Julianne Hough Josh Duhamel Cobie Smulders David Lyons Mike Pniewski,Lasse Hallstr\u00f6m
1718,Comedy Family Fantasy,witch halloween salem trick or treating spellcasting,It's just a bunch of Hocus Pocus.,Hocus Pocus,Bette Midler Sarah Jessica Parker Kathy Najimy Omri Katz Thora Birch,Kenny Ortega
1719,Comedy,italy competition loss of mother loss of sister new love,Life isn't always made to order.,No Reservations,Catherine Zeta-Jones Aaron Eckhart Abigail Breslin Patricia Clarkson Jenny Wade,Scott Hicks
1720,Action Crime,crime fighter secret identity comic book superhero murder,Shut up. Kick ass.,Kick-Ass,Aaron Taylor-Johnson Chlo\u00eb Grace Moretz Christopher Mintz-Plasse Nicolas Cage Mark Strong,Matthew Vaughn
1721,Action Adventure Comedy,pizza delivery adventure pizza boy number in title comedy,A lot can happen in 30 minutes.,30 Minutes or Less,Jesse Eisenberg Danny McBride Aziz Ansari Bianca Kajlich Nick Swardson,Ruben Fleischer
1722,Thriller Horror,vampire dracula bite blood vlad,The Most Seductive Evil of All Time Has Now Been Unleashed in Ours.,Dracula 2000,Gerard Butler Christopher Plummer Jonny Lee Miller Justine Waddell Jennifer Esposito,Patrick Lussier
1723,Family Comedy,based on novel job interview bad luck wish one day,One day can change everything.,"Alexander and the Terrible, Horrible, No Good, Very Bad Day",Steve Carell Jennifer Garner Ed Oxenbould Dylan Minnette Kerris Dorsey,Miguel Arteta
1724,Drama Romance,bachelor beautiful prejudice suitor period drama,A romance ahead of its time.,Pride & Prejudice,Keira Knightley Matthew Macfadyen Rosamund Pike Simon Woods Donald Sutherland,Joe Wright
1725,Science Fiction Drama Thriller,artificial intelligence man vs machine cyborg bounty hunter android,Man has made his match... now it's his problem.,Blade Runner,Harrison Ford Rutger Hauer Sean Young Edward James Olmos M. Emmet Walsh,Ridley Scott
1726,Adventure,scotland biography 18th century highlands violent man,Honor made him a man. Courage made him a hero. History made him a legend.,Rob Roy,Liam Neeson Jessica Lange John Hurt Tim Roth Eric Stoltz,Michael Caton-Jones
1727,Action Drama Thriller Crime,retirement secret service illegal drugs,,3 Days to Kill,Kevin Costner Amber Heard Hailee Steinfeld Connie Nielsen T\u00f3mas Lemarquis,McG
1728,Drama Crime Thriller,new york father son relationship nightclub gangster,Two brothers on opposite sides of the law. Beyond their differences lies loyalty.,We Own the Night,Joaquin Phoenix Eva Mendes Alex Veadov Mark Wahlberg Robert Duvall,James Gray
1729,Horror Thriller,pedophilia daughter anti-christ incest,,Lost Souls,Winona Ryder Ben Chaplin Sarah Wynter Philip Baker Hall John Hurt,Janusz Kami\u0144ski
1730,Documentary,ocean lake bird horse parrot,,Winged Migration,Philippe Labro Jacques Perrin,Jacques Perrin
1731,Comedy Drama Family Fantasy Romance,jinx bad luck kiss romantic comedy alcohol abuse,Everything changed in the wink of an eye.,Just My Luck,Lindsay Lohan Samaire Armstrong Chris Pine Missi Pyle Makenzie Vega Norfolk,Donald Petrie
1732,Drama Comedy,sport ice hockey,A Small Town on the Outskirts of Greatness.,"Mystery, Alaska",Russell Crowe Hank Azaria Mary McCormack Burt Reynolds Colm Meaney,Jay Roach
1733,Action Comedy Family,duringcreditsstinger,"Spying is easy, Babysitting is hard",The Spy Next Door,Amber Valletta Lucas Till Jackie Chan Billy Ray Cyrus George Lopez,Brian Levant
1734,Adventure Comedy Family Fantasy,magic wish kids fairy godmother,Anabel made a wish. Murray made a mess,A Simple Wish,Martin Short Kathleen Turner Mara Wilson Robert Pastorelli Deborah Odell,Michael Ritchie
1735,Action Horror Science Fiction,climbing up a wall hung upside down flashback within a flashback cavern battering,Terror is the same on any planet.,Ghosts of Mars,Natasha Henstridge Ice Cube Jason Statham Clea DuVall Pam Grier,John Carpenter
1736,Comedy Drama,bolivia woman political campaign south america year 2002,May the best campaign win.,Our Brand Is Crisis,Sandra Bullock Anthony Mackie Billy Bob Thornton Zoe Kazan Scoot McNairy,David Gordon Green
1737,Romance Horror Comedy Thriller,based on novel dystopia shaolin prejudice zombie,Bloody lovely.,Pride and Prejudice and Zombies,Lily James Sam Riley Jack Huston Bella Heathcote Douglas Booth,Burr Steers
1738,Drama,buddhism china mountains buddhist monk tibet,,Kundun,Tenzin Thuthob Tsarong Tencho Gyalpo Tsewang Migyur Khangsar Gyurme Tethong Robert Lin,Martin Scorsese
1739,Comedy Romance Drama,failure starlet,"He's across the pond, and out of his depth.",How to Lose Friends & Alienate People,Kelan Pannell Janette Scott Simon Pegg Megan Fox Gillian Anderson,Robert B. Weide
1740,Action Adventure Crime,crime fighter secret identity marvel comic superhero aftercreditsstinger,You Can't Fight Your Destiny.,Kick-Ass 2,Aaron Taylor-Johnson Chlo\u00eb Grace Moretz Christopher Mintz-Plasse Clark Duke Jim Carrey,Jeff Wadlow
1741,Action,,,Alatriste,Viggo Mortensen Elena Anaya Unax Ugalde Eduard Fern\u00e1ndez Eduardo Noriega,Agust\u00edn D\u00edaz Yanes
1742,Action Crime Drama,martial arts atomic bomb ghetto parkour cops,Undercover and never Outgunned,Brick Mansions,Paul Walker David Belle RZA Robert Maillet Carlo Rota,Camille Delamarre
1743,Adventure Action Thriller,atomic bomb eastern block crocodile secret intelligence service kgb,James Bond’s all time high.,Octopussy,Roger Moore Maud Adams Louis Jourdan Kristina Wayborn Kabir Bedi,John Glen
1744,Comedy Romance Drama,alcohol one-night stand bed pregnancy and birth condom,Save the due date.,Knocked Up,Seth Rogen Katherine Heigl Leslie Mann Paul Rudd Jason Segel,Judd Apatow
1745,Drama,parents kids relationship sister sister relationship court case in vitro fertilisation medical examiner,"A tale of life, love, and letting go.",My Sister's Keeper,Cameron Diaz Alec Baldwin Abigail Breslin Joan Cusack Sofia Vassilieva,Nick Cassavetes
1746,Comedy Drama,talk show,"Roscoe Jenkins aims for the heartstrings and funny bones, a raucous helping of family soul food.",Welcome Home Roscoe Jenkins,Martin Lawrence James Earl Jones Margaret Avery Joy Bryant Cedric the Entertainer,Malcolm D. Lee
1747,Drama Adventure History,doctor india english magistrate 1920s,"David Lean, the Director of ""Doctor Zhivago"", ""Lawrence of Arabia"" and ""The Bridge on the River Kwai"", invites you on . .",A Passage to India,Judy Davis Alec Guinness Peggy Ashcroft James Fox Victor Banerjee,David Lean
1748,Drama Romance,sex adultery based on novel cat infidelity,One woman's secret is another woman's power. One woman's fear is another woman's weapon. One woman's life is in another woman's hands....,Notes on a Scandal,Judi Dench Cate Blanchett Bill Nighy Juno Temple Max Lewis,Richard Eyre
1749,Drama Thriller,anti terror terror cia loss of son police brutality,What if someone you love...just disappeared?,Rendition,Omar Metwally Reese Witherspoon Jake Gyllenhaal Moa Khouas Zineb Oukach,Gavin Hood
1750,Science Fiction Action Adventure Thriller,farewell federation starfleet peace conference uss enterprise-a,The battle for peace has begun.,Star Trek VI: The Undiscovered Country,William Shatner Leonard Nimoy DeForest Kelley James Doohan George Takei,Nicholas Meyer
1751,Comedy Drama Romance,secret society conciliation marriage mother daughter relationship playwright,The Secret Is Out.,Divine Secrets of the Ya-Ya Sisterhood,Sandra Bullock Ellen Burstyn Fionnula Flanagan James Garner Cherry Jones,Callie Khouri
1752,Drama Mystery Thriller Crime,washington d.c. covered investigation investigation north carolina missing person,Smart Girls. Pretty Girls. Missing Girls.,Kiss the Girls,Morgan Freeman Ashley Judd Cary Elwes Alex McArthur Tony Goldwyn,Gary Fleder
1753,Music Comedy Action Crime,dancing prison chicago country music nun,They'll never get caught. They're on a mission from God.,The Blues Brothers,Dan Aykroyd John Belushi James Brown Cab Calloway Ray Charles,John Landis
1754,Adventure Comedy Drama Family,female friendship best friend summer vacation woman director young adult,Some friends just fit together.,The Sisterhood of the Traveling Pants 2,Alexis Bledel Amber Tamblyn America Ferrera Blake Lively Rachel Nichols,Sanaa Hamri
1755,Comedy Music,,Dream a whole lot louder,Joyful Noise,Queen Latifah Dolly Parton Keke Palmer Jeremy Jordan Courtney B. Vance,Todd Graff
1756,Drama Comedy Romance,london england rock and roll single parent rap music bachelor,One ordinary couple. One little white lie.,About a Boy,Hugh Grant Nicholas Hoult Toni Collette Rachel Weisz Sharon Small,Chris Weitz
1757,Horror Comedy Action Science Fiction Thriller,diving sheriff lake crocodile deputy,You'll never know what bit you.,Lake Placid,Bill Pullman Bridget Fonda Oliver Platt Brendan Gleeson Betty White,Steve Miner
1758,Drama Thriller Crime Mystery,assassination assassin identity sniper mistake in person,Wrong Time. Wrong Place. Wrong Number.,Lucky Number Slevin,Josh Hartnett Bruce Willis Lucy Liu Morgan Freeman Ben Kingsley,Paul McGuigan
1759,Drama History,cold war pilot space travel politics historical figure,How the future began.,The Right Stuff,Fred Ward Dennis Quaid Ed Harris Scott Glenn Sam Shepard,Philip Kaufman
1760,Drama History Thriller,shakespeare anonymity poet play political,Was Shakespeare a Fraud?,Anonymous,Jamie Campbell Bower Rhys Ifans David Thewlis Joely Richardson Vanessa Redgrave,Roland Emmerich
1761,Drama Family Fantasy Adventure,based on novel fictional place wolf mythology magic,A boy who needs a friend finds a world that needs a hero in a land beyond imagination!,The NeverEnding Story,Barret Oliver Gerald McRaney Noah Hathaway Drum Garrett Darryl Cooksey,Wolfgang Petersen
1762,Mystery Science Fiction,soul sleep manipulation future dystopia,A world where the night never ends.,Dark City,Rufus Sewell William Hurt Kiefer Sutherland Jennifer Connelly Richard O'Brien,Alex Proyas
1763,Drama History Romance,england adultery duke gambling debts marriage crisis,Based on the incredible true story.,The Duchess,Keira Knightley Ralph Fiennes Aidan McArdle Simon McBurney Charlotte Rampling,Saul Dibb
1764,Adventure Family Fantasy,wizard of oz,An all-new adventure down the yellow brick road.,Return to Oz,Fairuza Balk Nicol Williamson Jean Marsh Piper Laurie Matt Clark,Walter Murch
1765,Crime Action Drama,bank robber crime spree western u.s.,Four Brothers. Four Criminals. For The Money... They Would Stop At Nothing.,The Newton Boys,Matthew McConaughey Skeet Ulrich Ethan Hawke Vincent D'Onofrio Gail Cronauer,Richard Linklater
1766,Horror Mystery Thriller,child abuse detective social worker supernatural murder,Some cases should  never be opened.,Case 39,Ren\u00e9e Zellweger Jodelle Ferland Ian McShane Kerry O'Malley Callum Keith Rennie,Christian Alvart
1767,Crime Thriller,serial killer,Who's next?,Suspect Zero,Carrie-Anne Moss Aaron Eckhart Ben Kingsley Harry Lennix Kevin Chamberlin,E. Elias Merhige
